10:05:35:253 [ALWAYS]	GUDE Logging Started
10:05:35:254 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:05:35:254 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:05:35:254 [ERROR]	Initialize resume cache pointer failure
10:05:35:254 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:05:35:254 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:05:36:924 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:05:36:928 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:05:36:928 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:05:36:928 [ERROR]	Initialize resume cache pointer failure
10:05:36:929 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:05:36:929 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
